type,value,date
樱桃,20,2019-05-26
樱桃,20,2019-05-25
樱桃,20,2019-05-24
樱桃,20,2019-05-23
樱桃,20,2019-05-22
樱桃,20,2019-05-21
樱桃,20,2019-05-20
樱桃,20,2019-05-19
樱桃,20,2019-05-18
樱桃,20,2019-05-17
樱桃,22,2019-05-16
樱桃,22,2019-05-15
樱桃,22,2019-05-14
樱桃,22,2019-05-13
樱桃,25,2019-05-12
樱桃,25,2019-05-11
樱桃,25,2019-05-10
樱桃,25,2019-05-09
樱桃,25,2019-05-08
樱桃,25,2019-05-07
樱桃,25,2019-05-06
樱桃,28,2019-05-05
樱桃,28,2019-05-04
樱桃,30,2019-05-03
樱桃,30,2019-05-02
樱桃,27,2019-05-01
樱桃,27,2019-04-30
樱桃,27,2019-04-29
樱桃,27,2019-04-28
樱桃,27,2019-04-27
樱桃,27,2019-04-26
樱桃,27,2019-04-25
樱桃,27,2019-04-24
樱桃,27,2019-04-23
樱桃,27,2019-04-22
樱桃,27,2019-04-21
樱桃,27,2019-04-20
樱桃,27,2019-04-19
樱桃,27,2019-04-18
樱桃,27,2019-04-17
草莓,13,2019-05-26
草莓,13,2019-05-25
草莓,13,2019-05-24
草莓,13,2019-05-23
草莓,13,2019-05-22
草莓,13,2019-05-21
草莓,13,2019-05-20
草莓,13,2019-05-19
草莓,13,2019-05-18
草莓,13,2019-05-17
草莓,13,2019-05-16
草莓,13,2019-05-15
草莓,13,2019-05-14
草莓,15,2019-05-13
草莓,15,2019-05-12
草莓,15,2019-05-11
草莓,15,2019-05-10
草莓,15,2019-05-09
草莓,15,2019-05-08
草莓,30,2019-05-07
草莓,30,2019-05-06
草莓,30,2019-05-05
草莓,30,2019-05-04
草莓,30,2019-05-03
草莓,30,2019-05-02
草莓,14,2019-05-01
草莓,14,2019-04-30
草莓,14,2019-04-29
草莓,14,2019-04-28
草莓,14,2019-04-27
草莓,14,2019-04-26
草莓,14,2019-04-25
草莓,14,2019-04-24
草莓,14,2019-04-23
草莓,14,2019-04-22
草莓,14,2019-04-21
草莓,14,2019-04-20
草莓,14,2019-04-19
草莓,14,2019-04-18
草莓,14,2019-04-17
草莓,11.7,2019-04-16
草莓,11.7,2019-04-15
西瓜,2,2019-05-26
西瓜,2,2019-05-25
西瓜,2,2019-05-24
西瓜,2.2,2019-05-23
西瓜,2.8,2019-05-22
西瓜,2.8,2019-05-21
西瓜,2.8,2019-05-20
西瓜,2.8,2019-05-19
西瓜,2.8,2019-05-18
西瓜,2.8,2019-05-17
西瓜,2.8,2019-05-16
西瓜,2.8,2019-05-15
西瓜,2.8,2019-05-14
西瓜,2.6,2019-05-13
西瓜,2.8,2019-05-12
西瓜,2.8,2019-05-11
西瓜,2.8,2019-05-10
西瓜,2.8,2019-05-09
西瓜,2.8,2019-05-08
西瓜,2.8,2019-05-07
西瓜,2.8,2019-05-06
